0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,target
0.6107364,-0.33733264,-0.65729386,2.08737,2.2488182,-2.7585568,-0.47797677,-0.2911179,0.27941844,-0.4908186,-2.145393,1.6150287,1.5094181,0.90200937,1.7645957,-3.4405477,2
-0.104558304,-1.9086899,0.44952953,1.9839593,2.6326897,0.8901904,-0.8916751,1.987986,-0.010579409,3.598642,-1.927087,-1.1089597,0.9260384,-2.5642338,3.072474,-2.7798553,2
-3.3211253,-1.206319,-1.8867182,-0.7952733,1.2254274,0.46471873,2.5558906,1.2714949,-1.8977693,-0.59096116,1.2710286,0.49210736,2.1809278,-0.6235215,-0.8745783,-4.934771,1
0.8643459,-0.525374,1.1319162,-0.42387968,2.9420073,-1.2771891,-2.156355,2.1983366,0.5051018,0.657256,-0.8599558,0.7645543,-1.1644557,-1.4459693,1.973658,-3.3863666,2
-1.7839888,-2.0763736,-1.3871443,0.4631435,1.802365,1.2018365,0.5790665,0.3840769,-1.3088045,1.1319058,-0.44762966,0.586131,1.0971744,0.4477678,-3.5530138,-3.482644,1
-2.2658317,-1.6102401,-1.2861527,-1.3209506,1.6150955,-1.7040915,-1.7248908,-0.71724397,-1.4546793,2.966614,-0.6990548,-0.5532115,-0.15939447,1.6290935,-2.0574327,-1.8106185,1
1.9113705,0.043067686,-0.6110261,1.4547234,0.3031996,0.05987768,-1.3665721,2.963509,-1.1883268,3.3699532,-2.9257956,-1.0279036,0.46747255,-1.3206769,1.9085661,-4.3602853,2
-2.8848379,-2.0173798,-0.27707434,0.29538903,2.1909263,1.2184728,2.5355904,-0.005886983,-1.6028795,-1.5908852,-0.072982386,0.62343746,1.1502193,-1.4338446,-1.6020732,-3.1569772,1
0.5809046,-1.7749634,-2.4254403,3.791276,2.3053992,-1.567066,-0.2105067,-1.087485,1.6386948,-0.71109945,-2.2140715,1.740373,1.4554352,1.5679504,2.2931187,-3.5409265,2
0.85271025,-6.1088505,-0.9423164,-0.014904387,3.2482316,0.9938354,1.0280131,-1.3468606,-3.108976,2.7057362,-0.45669436,1.0209956,-0.82840216,0.8330917,-3.2908194,0.36668593,1
-3.3692002,-2.3717976,-1.0242609,-1.3473247,1.8984847,-2.7313025,-1.6094478,-1.3416032,-1.68085,3.0758588,-1.7046252,-0.5457076,-0.2905387,0.59482384,-1.2507318,-1.1034802,1
-0.24656342,-1.1616968,-1.7807058,0.9228068,0.21465924,3.5658448,-2.5679026,-1.3553159,0.6410262,1.2777381,-1.574417,2.6005192,-2.8152387,-0.60699207,2.8020642,-2.3333907,2
0.253506,-1.6092986,-0.68584687,-1.5067538,0.53566056,1.337187,0.7116113,-0.058763962,-0.7262077,2.9248037,1.8388932,-0.3685096,3.2909713,0.2994725,-2.327551,-4.706417,1
-4.431873,-0.14804935,-0.8351655,-0.0046854094,1.8701497,0.383417,2.7126768,0.21197735,-2.866996,-2.0208309,1.2689241,0.2777512,0.6861609,-1.1925905,-1.4610716,-4.228578,1
-2.006775,-1.8876612,-1.9227912,0.59177846,1.110648,0.23555519,1.1201367,1.012529,-2.7656655,-1.3272908,4.0682774,-0.82814884,1.8996723,-0.7544678,-1.4606907,-4.6229753,1
-1.9024136,-2.2668436,-2.3393323,0.77379155,1.6627867,-0.77017623,-0.5054591,2.1991246,-2.7917964,1.7233056,1.4072835,0.40531284,-1.1894628,1.7520107,-1.8696477,-1.2660223,1
0.7747658,-0.78365684,0.6737124,0.04664283,1.8908542,-0.6149749,-1.9839201,2.3623285,0.9139783,1.2567308,-0.9978228,0.5747544,-0.69141674,-1.2805908,2.444225,-3.672258,2
-0.50759614,-0.10068498,0.18928772,2.5529466,1.4397861,-2.47265,0.20115522,1.4643774,-0.8506797,0.85224783,-0.74171025,-0.15208489,-0.6556411,-1.5275501,0.23192844,-2.6237302,2
0.22534756,-0.60412276,0.13123778,-2.2348895,5.1677303,-0.120386526,-0.1137097,-0.5696894,1.5493652,0.76673967,-0.09537848,0.050554715,-0.80680686,-1.2349088,2.4290702,-2.9725673,2
-0.13304031,-0.47195554,-0.11444521,2.811213,2.9221764,-2.334038,-0.012046881,-1.170677,0.8672346,0.3466706,-0.3810166,0.88901234,-0.07292354,1.2694515,1.9062527,-3.463566,2
-1.6102823,-1.7283498,-1.4672153,0.35797977,1.4109243,1.0885127,1.8720732,0.56609976,-1.9205252,-0.027756907,4.0456166,-0.60818094,2.1199698,-0.32533708,-2.1491005,-4.391403,1
-1.645861,-3.1389995,-0.8751322,-0.60343504,1.7538311,0.44840863,2.5622566,0.27198592,-1.2144771,0.26166657,1.0766425,1.8755192,2.110032,0.32384974,-1.6234219,-3.0778825,1
0.14984395,-1.8794137,-1.0757431,0.15157622,-0.76183,-1.4826993,-0.2818362,-0.43792245,0.7535117,0.15108922,-0.558382,0.6685894,-2.1590946,-4.243505,0.18232067,-1.701624,2
1.5657935,-1.0146875,-0.9997702,3.1285954,3.4054472,-2.142514,0.8771206,-1.8674563,0.46534294,0.7658672,-0.58430934,-1.8057482,0.46908805,-0.608155,0.87799305,-3.1305964,2
-2.8289423,-1.5395502,-1.2478502,0.65317273,2.3927617,0.5937513,0.52958405,1.0309817,-1.4206064,0.56127065,1.764223,0.6072272,0.21270916,0.013649281,-2.961507,-2.7917988,1
