0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,target
-2.122239,-0.970497,0.77851284,1.4852976,3.3718603,-0.7386901,1.637035,-3.1590729,-2.1396732,-1.3150558,1.7160633,0.4571034,-0.37493533,-1.1673964,0.45582804,-1.7425528,12
-1.9243644,-1.391297,-0.78217363,2.911233,4.035865,-1.1972513,-0.9976766,-1.9009415,-2.9072704,0.2947164,3.252317,-1.1742356,-1.5149581,-1.5630856,-2.997107,-0.6582743,12
-3.488093,-2.192553,0.89093447,1.7986418,3.5270457,1.0435232,1.999142,-2.812357,-2.2670515,-2.1964362,0.45752412,-1.1967919,-0.27602366,-2.3664896,-1.0508739,-2.2233217,12
-1.2935481,-0.52250326,-1.2598462,0.18797901,2.9733915,-1.4418834,-0.10057169,-1.0608277,-2.8162744,1.584322,3.4106162,-0.44155735,0.8272599,-0.6713471,-2.0259392,-1.877917,12
-2.6460295,-1.040226,-0.13265413,1.0211236,2.9235828,0.3807514,0.40261766,0.26854458,-2.2764254,-0.5115038,0.48449302,0.16561523,-1.9304786,-1.4760778,-1.3577352,-0.8908983,12
-1.0905112,0.095038764,-1.8790998,-0.008347623,3.0040503,-0.36879155,-0.79708123,1.4869483,-2.1017551,1.7336448,-2.104677,-0.54623175,-0.22758615,-0.33414418,0.75538474,-1.4122016,12
-0.123117596,-1.58369,-2.5017965,0.3694251,2.9466834,1.0117129,-1.2124108,-2.3053203,-2.127925,0.866838,-0.4951282,0.33112764,-0.7304685,-3.0655997,1.2492852,0.48432827,12
-2.3041732,-0.8876174,-0.5905513,1.0921291,2.7487538,0.67464226,-0.4197288,0.6040318,-2.336815,-0.22527754,0.114714466,0.72610945,-1.303744,-2.04635,-0.67306346,-0.048586816,12
-0.40120775,-0.97918504,-2.0398562,-0.81952024,2.9305773,-0.8513773,-1.7992282,-0.3207836,-2.0428813,1.1867647,0.53069365,-0.14233539,-3.0075066,-3.308399,-0.43463472,0.0030803755,12
-1.8948375,-1.3422565,-1.231845,1.4853905,3.6039538,-0.6205049,0.25038183,-0.3591736,-2.6332111,0.36221683,2.7792935,-0.510836,0.45979467,-0.7920711,-0.46425363,-1.7654159,12
-1.8986021,-0.98881334,-0.88813657,1.0044479,4.414693,-1.3033731,-0.2773764,-1.8676707,-1.9716915,-0.1098917,0.5135555,1.3224168,-0.636245,-1.7116317,-0.43317974,-0.12972693,12
-2.516301,-0.6470712,0.080084145,1.695593,3.6555727,0.37257844,-0.12158131,-0.44246468,-1.3315929,-0.48078474,0.9229919,0.77070224,-0.21936944,-0.8343785,-1.1420974,-1.1595503,12
