0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,target
-4.117265,-1.1500998,-1.0300248,-1.5154226,1.1400541,1.5712506,4.0003695,0.1416798,-3.08897,-1.9689937,1.5881143,-0.20959151,2.1581979,-1.512242,-1.2051578,-6.127801,12
-1.2936397,-3.2074816,-0.031636123,0.6504886,1.568686,1.3065971,0.05903116,0.22090872,-1.1019549,2.5522232,1.9035208,-0.22740242,0.78008604,0.7370532,-3.2973127,-3.5709984,12
-4.1296563,-1.7401521,1.6388916,0.6051461,4.3007994,0.6083482,2.4558818,-0.79668593,-1.6617471,-1.8417702,-0.6149288,0.46885332,0.71323454,-1.4034926,0.0783389,-3.8608902,12
0.7952155,-0.61379844,0.0020989068,0.09284881,1.3910028,-1.426627,-2.9809175,1.5063789,1.0460137,-0.17905751,-0.69906145,1.7894102,-0.52777356,-1.9460449,1.4367673,-2.9985876,12
-2.4366844,-1.8526396,1.8343246,0.5336922,3.590425,0.09083812,-0.40692145,0.11110583,0.01296339,-0.76641124,0.43430728,1.6939123,-1.0356994,-0.8290198,-0.52475667,-3.1992226,12
-1.7332801,-1.8300107,-0.66965365,-0.17747158,2.379766,0.015179647,-1.3597447,1.0468414,-1.0006837,2.737923,0.4575774,-0.34777382,0.692434,0.49084795,0.23143043,-1.757535,12
1.4433002,-3.5937395,-2.709742,-0.03543544,1.0885379,1.2466241,-2.6635725,-1.7960238,0.17689896,1.2802025,1.8915752,-0.15590143,0.585031,-1.0725207,-0.58831984,-3.7130058,12
-2.5017543,-1.3855689,-0.77591485,0.4493392,2.546821,0.5774842,-0.04744976,1.859858,-1.2211292,0.030103885,-1.2246255,0.90681803,-0.010431271,-0.59518147,-1.5415056,-3.5513606,12
-1.0085151,-1.9054658,-1.7221555,-0.15883741,2.2979043,-2.2658732,-2.740053,-2.5999022,-1.7646888,2.924013,-0.16790499,-2.785231,1.2898533,0.97717625,-1.6355087,-1.7865168,12
-1.5587928,-0.6124635,-1.3463439,0.27315667,1.7499386,0.826713,1.3787029,0.92762166,-2.043814,0.24918091,4.223359,-0.51213324,2.2115593,0.22103144,-1.8593723,-4.9158454,12
-0.51808465,-1.758827,-0.5179756,2.055354,1.3056601,1.4566791,-1.2770075,-1.4323875,-1.7286007,1.151859,-0.23834492,1.5041698,-1.4958634,-0.7059883,2.3577857,-2.4142106,12
0.7493235,-1.6540959,-1.6738889,1.4458783,0.27847797,0.55040914,-1.979847,-1.0297441,2.0166276,-0.86358917,-0.76355547,1.6467823,-2.4396043,-0.19080171,1.8454754,-4.018729,12
0.6411574,-3.5418918,-0.8270174,0.88855624,2.2563756,-2.7764072,-3.540133,-2.3154678,-3.455688,0.12604794,0.26457366,-3.1044157,-0.5255727,-1.1200447,-2.1128745,-1.7298808,12
-1.1521227,-1.9814612,0.5934626,-0.67525095,4.3270698,-1.9662452,-2.652182,-0.538397,-1.6221925,1.3106077,-0.59676456,0.6207695,-0.59787863,-0.35398075,-0.27631202,-2.014528,12
-2.968411,-0.93251747,-0.8374971,0.50398326,2.1570973,1.3100973,0.8622736,1.2528899,-1.3587519,0.36748642,-0.60772765,0.99811476,0.17772162,0.23667341,-2.941395,-3.2822623,12
0.9662844,-0.8372065,-1.1653584,0.17055413,2.508995,-1.4322025,0.6755084,-3.3768058,1.8039639,-1.3597808,0.87158334,-0.72751755,-3.4065351,-0.56929773,0.9455824,-3.9494755,12
-0.67862964,-1.488825,-1.2276679,0.9992253,2.3712018,1.4688208,-1.8245757,-1.3659163,-1.0937263,0.5931348,-0.62500197,1.3014635,-1.8602791,-1.7499104,1.5961798,-1.7169313,12
-1.522028,-3.5042562,-0.4424189,2.5888972,3.2508748,-0.08530204,-1.8557968,0.9180463,-1.7853867,1.0684462,2.1521754,1.2715112,-1.3132608,-1.2029268,-3.3259234,-0.4023815,12
-2.0644941,-5.46078,-0.09770985,1.3183521,1.4985927,-1.0719757,-0.47171557,0.24351084,-2.4110584,-0.695137,0.7111939,-1.27698,-1.1288494,-0.494307,1.3276715,-0.9944271,12
-0.5213485,-2.4546905,-0.66565996,3.4933558,0.60460573,1.3375269,-1.2466708,-1.342837,-0.090818755,-0.23254982,0.708996,1.9053998,-1.1007982,0.17766878,0.26420555,-3.3325179,12
-1.2931737,-1.0013645,-1.3716693,0.50321764,2.3359582,-0.2240133,-1.3183048,1.6234359,-0.7559238,2.1186225,-1.4907323,0.24155894,0.30045,0.67353296,-1.9471,-2.1871724,12
0.3974861,-2.276445,-0.98747665,1.9905643,3.1102324,-3.1651201,-0.8998922,-0.22163345,1.1192788,-2.0489843,-1.0709888,2.0821772,0.87891614,0.49623722,1.1068835,-3.4210002,12
-1.2153709,-1.6738399,0.5730399,1.5821066,4.904702,-0.8127861,1.2594616,-0.6739152,-0.5734119,0.6610671,0.44595245,-0.0035384074,0.69993854,-0.3180886,1.0031003,-2.884898,12
-1.6894879,-3.3279345,-0.95243454,-1.4705081,4.5649137,-1.1973157,-0.70690966,-1.6142082,-2.4409535,0.235024,1.2491317,-1.320271,-1.5181189,-0.9160865,-0.023015553,0.52014595,12
1.3712051,-0.53505796,-0.7921159,3.6842875,-1.9751819,2.227375,-2.2696025,-1.7228655,-0.3995718,1.1418152,-1.1213701,3.6652784,-0.17221454,-0.022753052,1.8021874,-3.9875839,12
-1.5916718,-3.895609,0.45725435,0.65329576,3.2067618,0.6593012,0.99739075,0.4458297,-1.4810712,-0.9793156,-0.62273204,-0.058658846,2.118494,-0.44528168,-1.1677294,-4.128975,12
-1.3245127,-2.9835727,-0.84954244,2.8222556,3.6929855,-1.0856202,-0.4902442,0.16785917,0.2407883,-0.90803415,-2.1111858,1.8913317,1.1761891,0.00050912425,0.025958212,-3.1077456,12
-2.9898984,-5.084427,-1.0689132,0.82214826,1.540212,-0.793546,0.13362974,1.8148153,-4.6560664,-0.40508547,2.3425596,-0.29293323,-3.532763,0.8113741,-0.14669716,0.14912331,12
-0.041017734,-1.9146763,-2.2839296,2.8457346,3.441261,-1.2222224,1.587,-2.713077,0.7156191,-1.4127305,0.26738894,-0.406856,-2.01182,2.1303313,2.7753384,-2.6256113,12
-0.7635853,-1.1232449,1.5368768,-0.057329923,3.0865607,-2.3995218,-2.293769,1.3198864,-1.3783029,1.1732694,-2.001401,0.4403486,-0.7340229,0.52778053,0.0031028374,-3.334232,12
-1.7489531,-5.1742206,-0.09880366,-0.7171416,1.7431777,-1.3459216,-1.8145328,-1.600732,-2.8118596,2.2019553,1.0052493,-2.0998294,0.051286805,1.003663,-1.1621974,-0.5047407,12
-0.3123824,-2.745343,-1.2446193,2.1848583,-0.1307976,0.40466204,-1.4272338,-0.664973,-1.0313332,2.2030063,-0.96660507,2.5194116,-0.98566663,-0.10445739,-0.940424,-2.8131154,12
